id,direction,entry_price,entry_time,entry_time_ts,exit_price,exit_time,exit_time_ts,exit_reason,sl,tps,initial_size,pnl,pnl_percent,cumulative_pnl,tp_hits,r_return
44,short,3368.91,2025-08-05 09:40:00+00:00,1754386800,3364.86,2025-08-05 13:35:00+00:00,1754400900,SL,3364.71,"[np.float64(3328.35), np.float64(3279.5), None, None, None]",108.73,439.83,0.12,17732.89,[],0.44
45,long,3380.22,2025-08-07 12:10:00+00:00,1754568600,3387.14,2025-08-08 02:05:00+00:00,1754618700,SL,3387.29,"[np.float64(3440.11), np.float64(3512.16), None, None, None]",74.11,512.97,0.2,18245.87,[],0.51
46,short,3351.12,2025-08-12 07:00:00+00:00,1754982000,3356.84,2025-08-12 08:35:00+00:00,1754987700,SL,3356.69,"[np.float64(3311.44), np.float64(3263.65), None, None, None]",111.1,-635.62,-0.17,17610.24,[],-0.64
47,long,3351.59,2025-08-13 07:00:00+00:00,1755068400,3355.74,2025-08-13 13:30:00+00:00,1755091800,SL,3355.89,"[np.float64(3382.33), np.float64(3419.4), None, None, None]",142.55,591.03,0.12,18201.27,[],0.59
48,long,3344.75,2025-08-15 10:20:00+00:00,1755253200,3335.12,2025-08-15 13:30:00+00:00,1755264600,SL,3335.27,"[np.float64(3386.57), np.float64(3436.93), None, None, None]",105.53,-1015.82,-0.29,17185.46,[],-1.02
49,long,3341.3,2025-08-15 13:35:00+00:00,1755264900,3337.13,2025-08-15 14:15:00+00:00,1755267300,Signal,3331.31,"[np.float64(3385.45), np.float64(3438.61), None, None, None]",100.06,-417.25,-0.12,16768.21,[],-0.42
50,short,3337.13,2025-08-15 14:15:00+00:00,1755267300,3341.78,2025-08-15 15:15:00+00:00,1755270900,Signal,3350.59,"[np.float64(3277.41), np.float64(3205.56), None, None, None]",74.32,-345.59,-0.14,16422.62,[],-0.35
51,long,3341.78,2025-08-15 15:15:00+00:00,1755270900,3336.81,2025-08-15 21:30:00+00:00,1755293400,Weekend Close,3327.46,"[np.float64(3405.37), np.float64(3481.87), None, None, None]",69.85,-347.15,-0.15,16075.46,[],-0.35
52,long,3350.94,2025-08-18 10:05:00+00:00,1755511500,3342.23,2025-08-18 14:00:00+00:00,1755525600,SL,3342.38,"[np.float64(3388.66), np.float64(3434.1), None, None, None]",116.76,-1017.54,-0.26,15057.93,[],-1.02
53,short,3340.07,2025-08-21 10:50:00+00:00,1755773400,3333.11,2025-08-21 12:35:00+00:00,1755779700,SL,3332.96,"[np.float64(3319.02), np.float64(3293.58), None, None, None]",205.72,1432.32,0.21,16490.25,[],1.43
