timestamp,open,high,low,close,volume
1788966000000,4418.495,4431.875,4394.175,4394.335,0.2884
1788966300000,4394.195,4397.985,4379.515,4390.765,0.2973
1788966600000,4390.575,4392.145,4381.225,4389.555,0.2715
1788966900000,4389.585,4393.065,4380.235,4384.255,0.2739
1788967200000,4384.255,4388.075,4374.465,4383.185,0.2656
1788967500000,4383.045,4395.205,4382.715,4394.385,0.2741
1788967800000,4394.355,4401.165,4392.255,4400.795,0.6337
1788968100000,4400.708,4406.958,4397.558,4406.065,0.6171
1788968400000,4406.065,4406.898,4399.115,4402.785,0.6575
1788968700000,4402.828,4404.605,4398.918,4402.058,0.6877
1788969000000,4401.958,4406.995,4399.275,4401.135,0.5828
1788969300000,4401.145,4401.145,4397.905,4398.315,0.896
1788969600000,4398.335,4402.878,4396.695,4402.408,0.3739
1788969900000,4402.408,4402.418,4394.642,4395.315,0.3903
1788970200000,4395.323,4398.498,4394.718,4397.775,0.3234
1788970500000,4397.775,4398.148,4391.338,4393.148,0.3867
1788970800000,4393.148,4398.392,4393.128,4398.388,0.2302
1788971100000,4398.328,4402.228,4398.328,4401.468,0.2192
1788971400000,4401.385,4403.615,4398.885,4402.495,0.2082
1788971700000,4402.515,4404.278,4398.873,4403.908,0.2193
1788972000000,4403.898,4407.725,4403.058,4407.148,0.2097
1788972300000,4407.095,4409.063,4405.773,4406.605,0.2386
1788972600000,4406.623,4407.738,4405.263,4407.025,0.215
1788972900000,4407.025,4410.238,4406.268,4409.238,0.1863
1788973200000,4409.188,4413.815,4408.645,4412.755,0.2436
1788973500000,4412.915,4420.335,4412.645,4418.345,0.2618
1788973800000,4418.225,4418.978,4415.275,4416.425,0.2157
1788974100000,4416.428,4418.315,4414.908,4416.045,0.2306
1788974400000,4416.055,4418.425,4415.435,4417.903,0.1906
1788974700000,4417.908,4420.305,4414.215,4414.575,0.2224
1788975000000,4414.725,4414.808,4411.598,4412.488,0.1779
1788975300000,4412.488,4414.395,4411.878,4413.001,0.1781
1788975600000,4413.088,4416.975,4413.088,4413.429,0.1816
1788975900000,4413.429,4414.892,4413.128,4413.495,0.1269
1788976200000,4413.558,4415.965,4413.118,4414.908,0.1268
1788976500000,4415.025,4416.788,4414.738,4415.825,0.1212
1788976800000,4415.828,4419.055,4415.728,4418.275,0.1904
1788977100000,4418.275,4418.865,4415.588,4418.015,0.2175
1788977400000,4417.948,4421.425,4417.595,4420.165,0.1614
1788977700000,4420.065,4420.485,4417.968,4418.915,0.1519
1788978000000,4419.015,4419.575,4416.848,4417.348,0.1603
1788978300000,4417.385,4417.865,4416.55,4417.748,0.1606
1788978600000,4417.875,4418.185,4413.565,4414.875,0.206
1788978900000,4414.875,4415.595,4413.317,4414.715,0.1639
1788979200000,4414.715,4416.338,4409.375,4409.655,0.1671
1788979500000,4409.765,4410.005,4406.225,4406.515,0.1741
1788979800000,4406.495,4407.805,4404.838,4405.448,0.2118
1788980100000,4405.428,4406.854,4401.505,4403.045,0.2239
1788980400000,4403.015,4403.995,4396.715,4398.295,0.2647
1788980700000,4398.195,4399.886,4396.675,4398.965,0.2195
1788981000000,4398.965,4400.378,4396.908,4400.038,0.1636
1788981300000,4400.028,4402.205,4398.338,4401.685,0.1845
1788981600000,4401.685,4404.725,4401.375,4404.228,0.1645
1788981900000,4404.238,4404.508,4399.315,4399.355,0.1686
1788982200000,4399.355,4400.68,4398.245,4398.675,0.1341
1788982500000,4398.665,4398.775,4395.368,4397.108,0.1518
1788982800000,4397.115,4399.788,4395.998,4399.708,0.194
1788983100000,4399.738,4401.498,4399.478,4400.198,0.2053
1788983400000,4400.198,4400.618,4396.155,4398.785,0.2306
1788983700000,4398.683,4400.018,4397.478,4399.035,0.2654
1788984000000,4399.035,4399.215,4396.165,4396.645,0.086
